sample_code,population,count,total_count,percentage
sample00055,nk_cell,15392,101344,15.18787496053047
sample00056,b_cell,11022,92361,11.933608341182966
sample00056,cd4_t_cell,24674,92361,26.71473890494906
sample00056,cd8_t_cell,18780,92361,20.333257543768475
sample00056,monocyte,20094,92361,21.75593594699061
sample00056,nk_cell,17791,92361,19.262459263108887
sample00057,b_cell,15157,111127,13.639349573011058
sample00057,cd4_t_cell,40906,111127,36.810136150530475
sample00057,cd8_t_cell,19991,111127,17.98932752616376
sample00057,monocyte,23819,111127,21.434034933004583
sample00057,nk_cell,11254,111127,10.127151817290128
sample00058,b_cell,10510,93201,11.276703039666955
sample00058,cd4_t_cell,28561,93201,30.644520981534534
sample00058,cd8_t_cell,20389,93201,21.876374717009476
sample00058,monocyte,17442,93201,18.714391476486302
sample00058,nk_cell,16299,93201,17.488009785302733
sample00059,b_cell,17545,108944,16.104604200323102
sample00059,cd4_t_cell,33022,108944,30.31098546042003
sample00059,cd8_t_cell,24675,108944,22.649250991335
sample00059,monocyte,19458,108944,17.860552210309883
sample00059,nk_cell,14244,108944,13.074607137611984
sample00060,b_cell,11035,103534,10.658334460177334
sample00060,cd4_t_cell,38817,103534,37.49203160314486
sample00060,cd8_t_cell,21406,103534,20.67533370680163
sample00060,monocyte,17717,103534,17.11225297969749
sample00060,nk_cell,14559,103534,14.062047250178686
sample00061,b_cell,4508,111970,4.026078413860856
sample00061,cd4_t_cell,38281,111970,34.18862195230866
sample00061,cd8_t_cell,34867,111970,31.139590961864783
sample00061,monocyte,18301,111970,16.34455657765473
sample00061,nk_cell,16013,111970,14.301152094310975
sample00062,b_cell,10066,95286,10.563986314883614
sample00062,cd4_t_cell,21554,95286,22.620321978045045
sample00062,cd8_t_cell,20104,95286,21.098587410532502
sample00062,monocyte,26057,95286,27.346094914258128
sample00062,nk_cell,17505,95286,18.37100938228071
sample00063,b_cell,7236,93940,7.702789014264424
sample00063,cd4_t_cell,29335,93940,31.22737917819885
sample00063,cd8_t_cell,32409,93940,34.49968064722163
sample00063,monocyte,14501,93940,15.436448797104536
sample00063,nk_cell,10459,93940,11.13370236321056
sample00064,b_cell,10199,109577,9.307610173667832
sample00064,cd4_t_cell,33535,109577,30.60405012000694
sample00064,cd8_t_cell,24842,109577,22.670815955903155
sample00064,monocyte,24701,109577,22.542139317557517
sample00064,nk_cell,16300,109577,14.87538443286456
sample00065,b_cell,8425,92559,9.102302315279983
sample00065,cd4_t_cell,24750,92559,26.739701163582147
sample00065,cd8_t_cell,28293,92559,30.567529899847667
sample00065,monocyte,18995,92559,20.52204539807042
sample00065,nk_cell,12096,92559,13.068421223219783
sample00066,b_cell,8052,107284,7.505313001006673
sample00066,cd4_t_cell,37350,107284,34.81413817531039
sample00066,cd8_t_cell,35323,107284,32.92476044890198
sample00066,monocyte,12632,107284,11.774355915141122
sample00066,nk_cell,13927,107284,12.981432459639835
sample00067,b_cell,11874,107589,11.036444246158993
sample00067,cd4_t_cell,29460,107589,27.381981429328277
sample00067,cd8_t_cell,24116,107589,22.41493089442229
sample00067,monocyte,20737,107589,19.27427525118739
sample00067,nk_cell,21402,107589,19.892368178903048
sample00068,b_cell,10501,110245,9.52514853281328
sample00068,cd4_t_cell,35458,110245,32.16290988253436
sample00068,cd8_t_cell,33801,110245,30.659893872737992
sample00068,monocyte,23088,110245,20.94244636944986
sample00068,nk_cell,7397,110245,6.709601342464511
sample00069,b_cell,11742,110094,10.665431358657147
sample00069,cd4_t_cell,35087,110094,31.870038330880885
sample00069,cd8_t_cell,30825,110094,27.998801024578995
sample00069,monocyte,19536,110094,17.744836230857267
sample00069,nk_cell,12904,110094,11.720893055025705
sample00070,b_cell,9131,97532,9.362055530492556
sample00070,cd4_t_cell,31460,97532,32.256080055776565
sample00070,cd8_t_cell,21272,97532,21.81027765246278
sample00070,monocyte,19761,97532,20.2610425296313
sample00070,nk_cell,15908,97532,16.310544231636793
sample00071,b_cell,5029,96197,5.227813757185775
sample00071,cd4_t_cell,36013,96197,37.43671840078173
sample00071,cd8_t_cell,19587,96197,20.36134182978679
sample00071,monocyte,15972,96197,16.603428381342454
sample00071,nk_cell,19596,96197,20.37069763090325
sample00072,b_cell,8730,93613,9.325627850832683
sample00072,cd4_t_cell,22481,93613,24.014827000523432
sample00072,cd8_t_cell,26500,93613,28.308034140557403
sample00072,monocyte,19301,93613,20.617862903656544
sample00072,nk_cell,16601,93613,17.733648104429943
sample00073,b_cell,10426,104898,9.939179011992602
sample00073,cd4_t_cell,26510,104898,25.272169154797997
sample00073,cd8_t_cell,28944,104898,27.592518446490878
sample00073,monocyte,19567,104898,18.653358500638717
sample00073,nk_cell,19451,104898,18.542774886079812
sample00074,b_cell,13166,92232,14.274872061757307
sample00074,cd4_t_cell,33699,92232,36.53721051262035
sample00074,cd8_t_cell,18608,92232,20.175210339144765
sample00074,monocyte,11200,92232,12.143290831815422
sample00074,nk_cell,15559,92232,16.869416254662156
sample00075,b_cell,14480,104711,13.828537593949058
sample00075,cd4_t_cell,33149,104711,31.65760999321943
sample00075,cd8_t_cell,26460,104711,25.269551432036746
sample00075,monocyte,15639,104711,14.935393607166391
sample00075,nk_cell,14983,104711,14.308907373628369
sample00076,b_cell,12385,110097,11.24917118540923
sample00076,cd4_t_cell,37340,110097,33.9155471992879
sample00076,cd8_t_cell,23764,110097,21.58460266855591
sample00076,monocyte,20907,110097,18.989618245728767
sample00076,nk_cell,15701,110097,14.261060701018193
sample00077,b_cell,9602,105432,9.107291903786328
sample00077,cd4_t_cell,42528,105432,40.33689961302072
sample00077,cd8_t_cell,18744,105432,17.77828363305258
sample00077,monocyte,17956,105432,17.030882464526897
sample00077,nk_cell,16602,105432,15.746642385613477
sample00078,b_cell,5623,107869,5.212804420176325
sample00078,cd4_t_cell,26856,107869,24.896865642584988
sample00078,cd8_t_cell,32983,107869,30.57690346624146
sample00078,monocyte,23663,107869,21.936793703473658
sample00078,nk_cell,18744,107869,17.37663276752357
sample00079,b_cell,5792,99165,5.840770433116523
sample00079,cd4_t_cell,32123,99165,32.393485604800084
sample00079,cd8_t_cell,32012,99165,32.28155095043614
sample00079,monocyte,18446,99165,18.601321030605554
sample00079,nk_cell,10792,99165,10.8828719810417
sample00080,b_cell,5519,95727,5.765353557512509
sample00080,cd4_t_cell,31007,95727,32.391070439896794
sample00080,cd8_t_cell,22834,95727,23.85324934449006
sample00080,monocyte,18917,95727,19.76140482831385
sample00080,nk_cell,17450,95727,18.22892182978679
sample00081,b_cell,9595,93286,10.285573397937526
sample00081,cd4_t_cell,31245,93286,33.49377184143387
sample00081,cd8_t_cell,18940,93286,20.303153742255002
sample00081,monocyte,18924,93286,20.286002186823318
sample00081,nk_cell,14582,93286,15.631498831550287
sample00082,b_cell,6068,103389,5.8690963255278605
sample00082,cd4_t_cell,30549,103389,29.547630792444068
sample00082,cd8_t_cell,31190,103389,30.167619379237635
sample00082,monocyte,17682,103389,17.102399675013782
sample00082,nk_cell,17900,103389,17.313253827776652
sample00083,b_cell,7306,88242,8.279504091022416
sample00083,cd4_t_cell,23762,88242,26.9282201219374
sample00083,cd8_t_cell,23204,88242,26.295868180684934
sample00083,monocyte,17528,88242,19.863557036331905
sample00083,nk_cell,16442,88242,18.632850570023347
sample00084,b_cell,10469,100815,10.384367405644001
sample00084,cd4_t_cell,28340,100815,28.110896196002578
sample00084,cd8_t_cell,24997,100815,24.794921390666072
sample00084,monocyte,18881,100815,18.728363834746816
sample00084,nk_cell,18128,100815,17.981451172940535
sample00085,b_cell,13770,102542,13.428643872754579
sample00085,cd4_t_cell,26218,102542,25.568059916912095
sample00085,cd8_t_cell,32384,102542,31.581205749839093
sample00085,monocyte,12907,102542,12.587037506582668
sample00085,nk_cell,17263,102542,16.835052953911568
sample00086,b_cell,12479,105610,11.816115898115708
sample00086,cd4_t_cell,31475,105610,29.803048953697562
sample00086,cd8_t_cell,18340,105610,17.365779755704953
sample00086,monocyte,16664,105610,15.778808824921883
sample00086,nk_cell,26652,105610,25.23624656755989
sample00087,b_cell,5686,91946,6.184064559632827
sample00087,cd4_t_cell,26848,91946,29.199747677984906
sample00087,cd8_t_cell,21892,91946,23.809627389989778
sample00087,monocyte,25096,91946,27.29428142605442
sample00087,nk_cell,12424,91946,13.51227894633807
sample00088,b_cell,6883,101732,6.765816065741359
sample00088,cd4_t_cell,31277,101732,30.744505170447844
sample00088,cd8_t_cell,23831,101732,23.425274249990167
sample00088,monocyte,20748,101732,20.394762709865137
sample00088,nk_cell,18993,101732,18.669641803955493
sample00089,b_cell,14432,107271,13.453775950629712
sample00089,cd4_t_cell,31757,107271,29.604459732826204
sample00089,cd8_t_cell,23729,107271,22.120610416608404
sample00089,monocyte,22063,107271,20.567534561997185
sample00089,nk_cell,15290,107271,14.253619337938492
sample00090,b_cell,13492,102290,13.189950141753837
sample00090,cd4_t_cell,26759,102290,26.15993743278913
sample00090,cd8_t_cell,20490,102290,20.031283605435526
sample00090,monocyte,23448,102290,22.923061882882003
sample00090,nk_cell,18101,102290,17.695766937139506
sample00091,b_cell,4652,102598,4.5342014464219575
sample00091,cd4_t_cell,33782,102598,32.926567769352225
sample00091,cd8_t_cell,30489,102598,29.716953546852764
sample00091,monocyte,15790,102598,15.390163550946411
sample00091,nk_cell,17885,102598,17.432113686426636
sample00092,b_cell,7510,113429,6.6208817850814174
sample00092,cd4_t_cell,37137,113429,32.74030450766559
sample00092,cd8_t_cell,22955,113429,20.23732907810172
sample00092,monocyte,23268,113429,20.51327261987675
sample00092,nk_cell,22559,113429,19.888212009274525
sample00093,b_cell,8676,109064,7.954962224015256
sample00093,cd4_t_cell,33280,109064,30.5141935010636
sample00093,cd8_t_cell,22893,109064,20.990427638817575
sample00093,monocyte,16745,109064,15.353370498056188
sample00093,nk_cell,27470,109064,25.187046138047386
sample00094,b_cell,13462,102270,13.163195462990124
sample00094,cd4_t_cell,23802,102270,23.273687298327957
sample00094,cd8_t_cell,19888,102270,19.446563019458296
sample00094,monocyte,25885,102270,25.31045272318373
sample00094,nk_cell,19233,102270,18.806101496039894
sample00095,b_cell,4896,93081,5.2599348954136715
sample00095,cd4_t_cell,17746,93081,19.065115329659115
sample00095,cd8_t_cell,29022,93081,31.179295452347954
sample00095,monocyte,27838,93081,29.907285052803473
sample00095,nk_cell,13579,93081,14.588369269775786
sample00096,b_cell,8717,108158,8.059505538194124
sample00096,cd4_t_cell,31047,108158,28.705227537491446
sample00096,cd8_t_cell,29369,108158,27.153793524288538
sample00096,monocyte,25516,108158,23.59141256310213
sample00096,nk_cell,13509,108158,12.49006083692376
sample00097,b_cell,11469,100776,11.380685877589903
sample00097,cd4_t_cell,25644,100776,25.446534889259347
sample00097,cd8_t_cell,25912,100776,25.712471223307137
sample00097,monocyte,26747,100776,26.541041517821707
sample00097,nk_cell,11004,100776,10.91926649202191
sample00098,b_cell,10482,105304,9.95403783332067
sample00098,cd4_t_cell,31326,105304,29.748157714806656
sample00098,cd8_t_cell,25543,105304,24.256438501861275
sample00098,monocyte,23494,105304,22.31064347033351
sample00098,nk_cell,14459,105304,13.730722479677885
sample00099,b_cell,12589,107859,11.67171955979566
sample00099,cd4_t_cell,30346,107859,28.13487979677171
sample00099,cd8_t_cell,30282,107859,28.075543070119323
sample00099,monocyte,16250,107859,15.065965751583086
sample00099,nk_cell,18392,107859,17.051891821730223
sample00100,b_cell,12923,106648,12.117433050783886
sample00100,cd4_t_cell,32069,106648,30.06994974120471
sample00100,cd8_t_cell,24732,106648,23.19030830395319
sample00100,monocyte,17589,106648,16.49257370039757
sample00100,nk_cell,19335,106648,18.12973520366064
sample00101,b_cell,18583,100154,18.554426183677137
sample00101,cd4_t_cell,23455,100154,23.418934840345866
sample00101,cd8_t_cell,28514,100154,28.470155959821874
sample00101,monocyte,17677,100154,17.6498192783114
sample00101,nk_cell,11925,100154,11.90666373784372
sample00102,b_cell,16339,102212,15.9854028881149
sample00102,cd4_t_cell,30765,102212,30.099205572731186
sample00102,cd8_t_cell,15936,102212,15.591124329824288
sample00102,monocyte,22541,102212,22.053183579227486
sample00102,nk_cell,16631,102212,16.27108363010214
sample00103,b_cell,8845,109022,8.113041404487168
sample00103,cd4_t_cell,40757,109022,37.38419768487095
sample00103,cd8_t_cell,29598,109022,27.14864889655299
sample00103,monocyte,20436,109022,18.744840490910093
sample00103,nk_cell,9386,109022,8.609271523178808
sample00104,b_cell,7005,110049,6.365346345718725
sample00104,cd4_t_cell,37678,110049,34.237476033403304
sample00104,cd8_t_cell,22323,110049,20.284600496142627
sample00104,monocyte,20200,110049,18.355459840616454
sample00104,nk_cell,22843,110049,20.75711728411889
sample00105,b_cell,10654,97807,10.892880877646794
sample00105,cd4_t_cell,27062,97807,27.66877626345763
sample00105,cd8_t_cell,20879,97807,21.347142842536833
sample00105,monocyte,24268,97807,24.812130011144397
sample00105,nk_cell,14944,97807,15.27907000521435
sample00106,b_cell,10373,93933,11.042977441367784
sample00106,cd4_t_cell,31487,93933,33.520700925127485
sample00106,cd8_t_cell,17211,93933,18.32263421800645
sample00106,monocyte,19680,93933,20.951103446073265
sample00106,nk_cell,15182,93933,16.162583969425015
sample00107,b_cell,17623,102371,17.214836232917524
sample00107,cd4_t_cell,41127,102371,40.17446347110021
sample00107,cd8_t_cell,22928,102371,22.39696789129734
sample00107,monocyte,10158,102371,9.922732023717655
sample00107,nk_cell,10535,102371,10.291000380967267
sample00108,b_cell,4983,97245,5.124170908530001
